,Address,Latitude,Longitude,Type
0,"230 E 30th St, Kansas City, MO 64108",39.0729732,-94.58156355,Apartment
1,"5100 Oak St, Kansas City, MO 64112",39.0341803,-94.58331511,Apartment
2,"1444 Grand Blvd, Kansas City, MO 64106",39.0966872,-94.5812655,Apartment
3,"701 Berkley Pky, Kansas City, MO 64120",39.118774,-94.566342,Apartment
4,"4551 Pennsylvania Ave, Kansas City, MO 64111",39.04512159,-94.59322807,Apartment
5,"3600 Broadway Blvd, Kansas City, MO 64111",39.0617564,-94.59209539,Apartment
6,"6551 Rockhill Rd, Kansas City, MO 64131",39.00890393,-94.57699433,Apartment
7,"318 W 7th St, Kansas City, MO 64105",39.1059406,-94.58708244,Apartment
8,"106 W 11th St, Kansas City, MO 64105",39.10110475,-94.58462622,Apartment
9,"1111 E Armour Blvd, Kansas City, MO 64109",39.06315514,-94.57148533,Apartment
10,"1320 Baltimore Ave, Kansas City, MO 64105",39.09828716,-94.58449106,Apartment
11,"200 W 5th St, Kansas City, MO 64105",39.1080018,-94.58561876,Apartment
12,"8601 Drury Ave, Kansas City, MO 64132",38.96955,-94.525018,Apartment
13,"311 NW 96th St, Kansas City, MO 64155",39.2691477,-94.5798034,Apartment
14,"1936 Summit St, Kansas City, MO 64108",39.09002126,-94.59365394,Apartment
15,"933 McGee St, Kansas City, MO 64106",39.10250895,-94.5792594,Apartment
16,"122 Delaware St, Kansas City, MO 64105",39.11162076,-94.58539347,Apartment
17,"531 Grand Blvd, Kansas City, MO 64106",39.10760895,-94.57941125,Apartment
18,"920 Main St, Kansas City, MO 64105",39.1026688,-94.5833376,Apartment
19,"701 E Armour Blvd, Kansas City, MO 64109",39.0631079,-94.5761662,Apartment
20,"2980 Gillham Rd, Kansas City, MO 64108",39.07283,-94.579036,Apartment
21,"50 E 13th St, Kansas City, MO 64106",39.0988441,-94.58238413,Apartment
22,"2100 Wyandotte St, Kansas City, MO 64108",39.08799395,-94.58654755,Apartment
23,"350 W 104th Ter, Kansas City, MO 64114",38.9385553,-94.59603459,Apartment
24,"3151 NW 90th St, Kansas City, MO 64154",39.25614934,-94.61621621,Apartment
25,"720 Main St, Kansas City, MO 64105",39.104791,-94.58380837,Apartment
26,"701 Broadway Blvd, Kansas City, MO 64105",39.105495,-94.58776495,Apartment
27,"1800 Walnut St, Kansas City, MO 64108",39.0912195,-94.5826546,Apartment
28,"5951 NW 63rd St, Kansas City, MO 64151",39.208844,-94.62572,Apartment
29,"2697 Troost Ave, Kansas City, MO 64108",39.07787612,-94.57085643,Apartment
30,"3880 N Mulberry Dr, Kansas City, MO 64116",39.16611645,-94.59433252,Apartment
31,"9641 N Ambassador Dr, Kansas City, MO 64154",39.257223,-94.6495953,Apartment
32,"1200 Washington St, Kansas City, MO 64105",39.0995949,-94.5903501,Apartment
33,"2975 Main St, Kansas City, MO 64108",39.07334,-94.58492759,Apartment
34,"9821 Wornall Rd, Kansas City, MO 64114",38.9497572,-94.59608194,Apartment
35,"9519 N Ambassador Dr, Kansas City, MO 64154",39.257223,-94.6495953,Apartment
36,"8803 Newton Ave, Kansas City, MO 64138",38.96607517,-94.5108228,Apartment
37,"300-306 E 12th St, Kansas City, MO 64106",39.0996102,-94.5734141,Apartment
38,"1989 Main St, Kansas City, MO 64108",39.0894558,-94.5827628,Apartment
39,"911 Main St, Kansas City, MO 64105",39.10309765,-94.58266676,Apartment
40,"14500 E Bannister Rd, Kansas City, MO 64139",38.944485,-94.411943,Apartment
41,"1207 E Armour Blvd, Kansas City, MO 64109",39.06289565,-94.57006664,Apartment
42,"215 E 18th St, Kansas City, MO 64108",39.091617,-94.58105957,Apartment
43,"2501 Beacon Hill, Kansas City, MO 64108",39.29910675,-94.58281793,Apartment
44,"1125 Grand Blvd, Kansas City, MO 64106",39.10002785,-94.58045342,Apartment
45,"1003-1005 Broadway Blvd, Kansas City, MO 64105",39.1066434,-94.5880419,Apartment
46,"601 Avenida Cesar E Chavez, Kansas City, MO 64108",39.0856277,-94.5919836,Apartment
47,"1520 E 97th St, Kansas City, MO 64131",38.9515778,-94.57058086,Apartment
48,"2700 Gillham Rd, Kansas City, MO 64108",39.077879,-94.578619,Apartment
49,"3457 Holmes St, Kansas City, MO 64109",39.06376895,-94.57611662,Apartment
50,"7301 NW Donovan Dr, Kansas City, MO 64153",39.2594815,-94.6660217,Apartment
51,"9422 Cleveland Ave, Kansas City, MO 64132",38.95620312,-94.54398851,Apartment
52,"409 NW 66th Ter, Kansas City, MO 64118",39.21465708,-94.58738991,Apartment
53,"7841 N Anita Ave, Kansas City, MO 64151",39.23662124,-94.63281967,Apartment
54,"8660 N Wyandotte St, Kansas City, MO 64155",39.25109742,-94.58284467,Apartment
55,"4111 Broadway, Kansas City, MO 64111",39.0538445,-94.5905976,Apartment
56,"1918 Locust St, Kansas City, MO 64108",39.08993247,-94.57798555,Apartment
57,"8811 N Congress Ave, Kansas City, MO 64153",39.25570197,-94.66778717,Apartment
58,"7831 NW Roanridge Rd, Kansas City, MO 64151",39.23678984,-94.6551905,Apartment
59,"4800 Oak St, Kansas City, MO 64112",39.0399107,-94.58251502,Apartment
60,"6360 N London Ave, Kansas City, MO 64151",39.20929424,-94.63275759,Apartment
61,"10500 E 42nd St, Kansas City, MO 64133",39.046517,-94.455705,Apartment
62,"1601 NE Vivion Rd, Kansas City, MO 64118",39.18096885,-94.5608671,Apartment
63,"10415 E 43rd St, Kansas City, MO 64133",39.04446446,-94.45696715,Apartment
64,"11330 Colorado Ave, Kansas City, MO 64137",38.91871307,-94.53012824,Apartment
65,"7000 Crabapple Ln, Kansas City, MO 64129",39.02933273,-94.50303979,Apartment
66,"9327 NE 79th St, Kansas City, MO 64158",39.2351624,-94.46803276,Apartment
67,"107-123 Brentwood Dr, Liberty, MO 64068",39.232192,-94.461062,Apartment
68,"3895 State Line Rd, Kansas City, MO 64111",39.05769725,-94.6069549,Apartment
69,"333 W 46th Ter, Kansas City, MO 64112",39.04315518,-94.59021011,Apartment
70,"1050 Jefferson St, Kansas City, MO 64105",39.10183158,-94.59230046,Apartment
71,"127 W 10th St, Kansas City, MO 64105",39.1019869,-94.5851356,Apartment
72,"6700 E 87th St, Kansas City, MO 64138",38.967107,-94.510579,Apartment
73,"8619 E 61st Ter, Kansas City, MO 64129",39.016012,-94.581361,Apartment
74,"934 Wyandotte St, Kansas City, MO 64105",39.1025388,-94.58572496,Apartment
75,"2900 Williamsburg Ter, Platte City, MO 64079",39.34714065,-94.75664755,Apartment
76,"12 E Armour Blvd, Kansas City, MO 64111",39.06417445,-94.58472362,Apartment
77,"909 Walnut St, Kansas City, MO 64106",39.10322085,-94.58157337,Apartment
78,"9300 NE 87th St, Kansas City, MO 64157",39.250604,-94.467035,Apartment
79,"8901 N Chestnut Ave, Kansas City, MO 64156",39.2549671,-94.54606969,Apartment
80,"4341 Mercier St, Kansas City, MO 64111",39.04939652,-94.60123806,Apartment
81,"8940 N Shannon Ave, Kansas City, MO 64153",39.25688101,-94.66913822,Apartment
82,"127-129 E 46th St, Kansas City, MO 64112",39.0432194,-94.58589276,Apartment
83,"11201 Montgall Ave, Kansas City, MO 64137",38.9227512,-94.55867864,Apartment
84,"1282-1282 NW Vivion Rd, Kansas City, MO 64118",39.182545,-94.5950722,Apartment
85,"401 Delaware St, Kansas City, MO 64105",39.10891555,-94.58407821,Apartment
86,"8111 N Denver Ave, Kansas City, MO 64119",39.24060067,-94.51702745,Apartment
87,"701 Westport Rd, Kansas City, MO 64111",39.05132575,-94.59454307,Apartment
88,"717 W 101st Ter, Kansas City, MO 64114",38.9439842,-94.5957981,Apartment
89,"8501 N Platte Purchase Dr, Kansas City, MO 64155",39.24813,-94.600849,Apartment
90,"7441 NW Old Tiffany Springs Rd, Kansas City, MO 64153",39.26041483,-94.66238045,Apartment
91,"4027 N Bennington Ave, Kansas City, MO 64117",39.16663845,-94.50222763,Apartment
92,"2900 NE Barry Rd, Kansas City, MO 64156",39.24754842,-94.54427758,Apartment
93,"10500 Hillcrest Rd, Kansas City, MO 64134",38.935738,-94.522815,Apartment
94,"8600 Buckingham Ln, Kansas City, MO 64138",38.987683,-94.487227,Apartment
95,"1106 W 47th St, Kansas City, MO 64112",39.0431357,-94.6004618,Apartment
96,"4621 Jefferson St, Kansas City, MO 64112",39.042805,-94.594528,Apartment
97,"925 Wyoming St, Kansas City, MO 64101",39.10337475,-94.60408548,Apartment
98,"1201 E 116th Ter, Kansas City, MO 64131",38.915813,-94.576595,Apartment
99,"8900 Old Santa Fe Rd, Kansas City, MO 64138",38.961842,-94.502978,Apartment
100,"1500 E 46th St, Kansas City, MO 64110",39.04342796,-94.56712726,Apartment
101,"1770 Diamond Pky, North Kansas City, MO 64116",39.1425465,-94.5623371,Apartment
102,"2200 W 47th Pl, Westwood, KS 66205",39.0431121,-94.6096451,Apartment
103,"601 NE 70th St, Gladstone, MO 64118",39.2204059,-94.57474184,Apartment
104,"2600 City View Dr, North Kansas City, MO 64116",39.147817,-94.578441,Apartment
105,"13615 White Ave, Grandview, MO 64030",38.8774947,-94.52380677,Apartment
106,"8620 W Utopia Dr, Raytown, MO 64138",38.9675222,-94.4811744,Apartment
107,"6522 E 125th St, Grandview, MO 64030",38.89761944,-94.51782364,Apartment
108,"5908 E 126th St, Grandview, MO 64030",38.89485447,-94.52378845,Apartment
109,"101 W 11th St, Kansas City, MO 64105",39.1007486,-94.5844824,Apartment
110,"8787 NW Prairie View Rd, Kansas City, MO 64153",39.24844593,-94.66100009,Apartment
111,"5400 N Summit St, Kansas City, MO 64118",39.199552,-94.590217,Apartment
112,"5417 E 96th Pl, Kansas City, MO 64137",38.94996225,-94.52639951,Apartment
113,"900-912 E 29th St, Kansas City, MO 64109",39.0737568,-94.560533,Apartment
114,"108 NW 63rd St, Kansas City, MO 64118",39.209693,-94.592545,Apartment
115,"929 Jefferson St, Kansas City, MO 64105",39.1028297,-94.59190127,Apartment
116,"2121 Central St, Kansas City, MO 64108",39.08738875,-94.58731485,Apartment
117,"11418 Blue Ridge Blvd, Kansas City, MO 64134",38.91648015,-94.5122094,Apartment
118,"715 Armour Rd, Kansas City, MO 64116",39.142777,-94.57230057,Apartment
119,"910 Pennsylvania Ave, Kansas City, MO 64105",39.10335135,-94.59128345,Apartment
120,"323 W 8th St, Kansas City, MO 64105",39.10443245,-94.58710057,Apartment
121,"11337 Calico Dr, Kansas City, MO 64137",38.91953902,-94.55409801,Apartment
122,"929 Jefferson St, Kansas City, MO 64105",39.1028297,-94.59190127,Apartment
123,"5700 N Main St, Gladstone, MO 64118",39.212149,-94.581367,Apartment
124,"240 W 2nd St, Kansas City, MO 64105",39.1102694,-94.5859674,Apartment
125,"4445 Madison Ave, Kansas City, MO 64111",39.04732815,-94.59680963,Apartment
126,"100 E 28th Ter, Kansas City, MO 64108",39.07540795,-94.58330865,Apartment
127,"5050 Main St, Kansas City, MO 64112",39.0350929,-94.5875339,Apartment
