,Address,Longitude,Latitude,Rent,URL,Type
0,"1444 Grand Blvd, Kansas City, MO 64106",-94.5812655,39.0966872,"$1,550 - 4,790",https://www.apartments.com/the-mark-kansas-city-mo/0bnc880/,apartment
1,"230 E 30th St, Kansas City, MO 64108",-94.58156355,39.0729732,"$1,695 - 1,895",https://www.apartments.com/46-penn-kansas-city-mo/vf0syce/,apartment
2,"5100 Oak St, Kansas City, MO 64112",-94.58331510943782,39.0341803,"$1,796 - 2,262",https://www.apartments.com/west-7th-street-unity-lofts-kansas-city-mo/83yk3b0/,apartment
3,"4551 Pennsylvania Ave, Kansas City, MO 64111",-94.59322807018178,39.04512158847575,"$1,669 - 1,929",https://www.apartments.com/lofts-at-union-hill-kansas-city-mo/ff9xt7t/,apartment
4,"701 Berkley Pky, Kansas City, MO 64120",-94.5660869,39.1188256,"$1,440 - 2,204",https://www.apartments.com/power-light-apartments-kansas-city-mo/pjjdqys/,apartment
5,"8601 Drury Ave, Kansas City, MO 64132",-94.525018,38.96955,"$1,075 - 1,250",https://www.apartments.com/steeplechase-apartments-kansas-city-mo/6wkv66v/,apartment
6,"318 W 7th St, Kansas City, MO 64105",-94.58708243738735,39.1059406,"$1,320 - 1,715",https://www.apartments.com/union-hill-place-kansas-city-mo/8g9rym2/,apartment
7,"200 W 5th St, Kansas City, MO 64105",-94.58561876122981,39.1080018,"$1,382 - 1,840",https://www.apartments.com/richards-conover-unity-lofts-kansas-city-mo/fkm1g9s/,apartment
8,"3600 Broadway Blvd, Kansas City, MO 64111",-94.5920953902608,39.0617564,"$1,495 - 1,795",https://www.apartments.com/convergekc-kansas-city-mo/jl8kt14/,apartment
9,"106 W 11th St, Kansas City, MO 64105",-94.58462622407617,39.101104750000005,"$1,370 - 1,900",https://www.apartments.com/pickwick-plaza-kansas-city-mo/7n5nnky/,apartment
10,"1111 E Armour Blvd, Kansas City, MO 64109",-94.5714853265306,39.06315514285714,"$1,205 - 1,520",https://www.apartments.com/the-ethans-apartments-kansas-city-mo/v05l9pg/,apartment
