,Address,Latitude,Longitude,Type
0,"3967 Main St, Kansas City, MO 64111, United States",39.0545677,-94.58549495,grocery store
1,"4001 Mill St, Kansas City, MO 64111, United States",39.05478345,-94.59490528,grocery store
2,"4001 Mill St, Kansas City, MO 64111, United States",39.05478345,-94.59490528,grocery store
3,"10 E 13th St, Kansas City, MO 64106, United States",39.0987093,-94.5830685,grocery store
4,"1616 E 63rd St, Kansas City, MO 64110, United States",39.01307258,-94.56795868,grocery store
5,"2751 Burlington St, North Kansas City, MO 64116, United States",39.14919948,-94.58007188,grocery store
6,"4357 NE Chouteau Trafficway, Kansas City, MO 64117, United States",39.1731017,-94.5328692,grocery store
7,"4357 NE Chouteau Trafficway, Kansas City, MO 64117, United States",39.1731017,-94.5328692,grocery store
8,"4820 N Oak Trafficway, Kansas City, MO 64118, United States",39.18261255,-94.57880692,grocery store
9,"640 E 18th St, Kansas City, MO 64108, United States",39.0916928,-94.5756495,grocery store
10,"6327 Brookside Plaza, Kansas City, MO 64113, United States",39.01344551,-94.59056635,grocery store
11,"6655 Martway St, Mission, KS 66202, United States",39.0190608,-94.66244743,grocery store
12,"4209 E 50th Terrace, Kansas City, MO 64130, United States",39.02949,-94.423579,grocery store
13,"301 E 51st St, Kansas City, MO 64112, United States",39.034463,-94.5836061,grocery store
14,"3410 Troost Ave, Kansas City, MO 64109, United States",39.0640314,-94.57204906,grocery store
15,"3821 E Truman Rd, Kansas City, MO 64127, United States",39.094077,-94.537681,grocery store
16,"11200 E Truman Rd, Independence, MO 64050, United States",39.0955976,-94.4450789,grocery store
17,"11200 E Truman Rd, Independence, MO 64050, United States",39.0955976,-94.4450789,grocery store
18,"2815 State Ave, Kansas City, KS 66102, United States",39.1167994,-94.6586775,grocery store
19,"3500 Blue Ridge Cutoff, Kansas City, MO 64133, United States",39.05901,-94.47268,grocery store
20,"241 Linwood Blvd, Kansas City, MO 64111, United States",39.06788284,-94.58097594,grocery store
