,"10 E 13th St, Kansas City, MO 64106, United States","640 E 18th St, Kansas City, MO 64108, United States","310 E 5th St, Kansas City, MO 64106, United States","2620 Independence Ave, Kansas City, MO 64124, United States","721 The Paseo, Kansas City, MO 64106, United States","615 Prospect Ave, Kansas City, MO 64124, United States","202 Grand Blvd, Kansas City, MO 64106, United States","9 E 3rd St, Kansas City, MO 64106, United States","307a Main St, Kansas City, MO 64105, United States","2536 Independence Ave, Kansas City, MO 64124, United States","19 E 3rd St, Kansas City, MO 64106, United States","2255 E 12th St, Kansas City, MO 64127, United States","303 Grand Blvd, Kansas City, MO 64106, United States","2904 Independence Ave, Kansas City, MO 64124, United States","806 Southwest Blvd, Kansas City, MO 64108, United States"
"2111 Woodland Ave, Kansas City, MO 64108, United States",39.4,20.716666666666665,49.03333333333333,38.916666666666664,28.216666666666665,36.55,52.56666666666667,53.38333333333333,54.016666666666666,38.233333333333334,53.03333333333333,23.05,51.18333333333333,42.8,41.483333333333334
"1524 The Paseo, Kansas City, MO 64108, United States",26.333333333333332,15.6,38.266666666666666,34.38333333333333,18.883333333333333,31.983333333333334,41.43333333333333,41.45,42.0,32.6,41.1,18.533333333333335,40.2,38.266666666666666,40.4
"1601 Forest Ave, Kansas City, MO 64108, United States",24.583333333333332,10.416666666666666,35.8,44.2,28.833333333333332,41.833333333333336,39.93333333333333,39.88333333333333,40.43333333333333,42.86666666666667,39.53333333333333,28.333333333333332,38.666666666666664,48.083333333333336,35.31666666666667
"3221 Indiana Ave, Kansas City, MO 64128, United States",81.03333333333333,62.36666666666667,,65.65,74.95,65.28333333333333,,,,66.95,,58.93333333333333,,62.016666666666666,76.4
"816 Broadway Blvd, Kansas City, MO 64105, United States",13.016666666666667,30.4,15.883333333333333,46.916666666666664,31.483333333333334,46.333333333333336,16.283333333333335,14.6,12.55,45.35,14.25,41.63333333333333,15.383333333333333,50.833333333333336,29.083333333333332
"1610 N 8th St, Kansas City, KS 66101, United States",79.53333333333333,,73.11666666666666,,,,69.95,69.08333333333333,67.21666666666667,,68.73333333333333,,70.68333333333334,,
"2012 E 23rd St, Kansas City, MO 64127, United States",45.983333333333334,27.333333333333332,55.63333333333333,38.56666666666667,34.833333333333336,36.2,59.166666666666664,60.0,60.63333333333333,37.86666666666667,59.65,22.766666666666666,57.78333333333333,42.45,45.43333333333333
"3737 Troost Ave, Kansas City, MO 64109, United States",66.3,49.6,,,,,,,,,,69.7,,,55.15
"415 Van Brunt Blvd, Kansas City, MO 64124, United States",,76.21666666666667,63.95,31.183333333333334,47.5,32.833333333333336,67.48333333333333,68.31666666666666,68.95,32.516666666666666,67.95,45.233333333333334,66.1,27.183333333333334,
"1924 Van Brunt Blvd, Kansas City, MO 64127, United States",,64.28333333333333,,56.78333333333333,67.56666666666666,56.833333333333336,,,,58.083333333333336,,51.0,,53.166666666666664,
"3930 Broadway Blvd, Kansas City, MO 64111, United States",,60.666666666666664,,,,,,,,,,,,,44.266666666666666
"620 E 23rd Ave, North Kansas City, MO 64116, United States",,,62.55,93.13333333333334,82.51666666666667,92.8,62.88333333333333,64.93333333333334,65.61666666666666,91.55,64.58333333333333,,63.18333333333333,97.23333333333333,
