,"2111 Woodland Ave, Kansas City, MO 64108, United States","1524 The Paseo, Kansas City, MO 64108, United States","1601 Forest Ave, Kansas City, MO 64108, United States","3221 Indiana Ave, Kansas City, MO 64128, United States","816 Broadway Blvd, Kansas City, MO 64105, United States","211 Linwood Blvd, Kansas City, MO 64111, United States","415 Van Brunt Blvd, Kansas City, MO 64124, United States","620 E 23rd Ave, North Kansas City, MO 64116, United States","1924 Van Brunt Blvd, Kansas City, MO 64127, United States","1610 N 8th St, Kansas City, KS 66101, United States","2501 Minnesota Ave, Kansas City, KS 66102, United States","708 N 18th St, Kansas City, KS 66102, United States","2400 Steele Rd, Kansas City, KS 66106, United States","3930 Broadway Blvd, Kansas City, MO 64111, United States","2012 E 23rd St, Kansas City, MO 64127, United States","3737 Troost Ave, Kansas City, MO 64109, United States","4747 Flora Ave, Kansas City, MO 64110, United States","5041 Reinhardt Dr, Roeland Park, KS 66205, United States","5815 NE 48th St, Kansas City, MO 64119, United States"
"10 E 13th St, Kansas City, MO 64106, United States",40.46666666666667,25.1,23.333333333333332,82.98333333333333,13.733333333333333,48.25,77.63333333333334,74.93333333333334,81.43333333333334,78.25,100.0,96.46666666666667,115.08333333333333,65.81666666666666,47.5,68.11666666666666,102.63333333333334,108.76666666666667,180.95
"640 E 18th St, Kansas City, MO 64108, United States",23.4,15.983333333333333,10.766666666666667,65.8,32.43333333333333,46.6,78.56666666666666,84.06666666666666,67.36666666666666,97.3,119.03333333333333,115.51666666666667,114.65,64.15,30.616666666666667,52.78333333333333,87.78333333333333,108.33333333333333,186.81666666666666
"310 E 5th St, Kansas City, MO 64106, United States",51.416666666666664,37.766666666666666,35.8,96.06666666666666,17.7,67.23333333333333,66.1,57.266666666666666,91.08333333333333,72.83333333333333,94.56666666666666,91.03333333333333,134.81666666666666,84.8,58.61666666666667,82.48333333333333,118.05,128.5,163.28333333333333
"2620 Independence Ave, Kansas City, MO 64124, United States",37.75,30.916666666666668,40.7,65.5,45.65,91.65,29.683333333333334,84.06666666666666,56.11666666666667,104.71666666666667,126.46666666666667,122.93333333333334,160.75,109.21666666666667,38.166666666666664,84.83333333333333,112.78333333333333,154.43333333333334,145.03333333333333
"721 The Paseo, Kansas City, MO 64106, United States",27.7,16.116666666666667,26.216666666666665,75.31666666666666,30.833333333333332,76.98333333333333,46.63333333333333,74.13333333333334,67.36666666666666,94.18333333333334,115.91666666666667,112.4,145.88333333333333,94.55,34.916666666666664,70.16666666666667,99.16666666666667,139.56666666666666,162.38333333333333
"615 Prospect Ave, Kansas City, MO 64124, United States",35.61666666666667,28.783333333333335,38.583333333333336,65.46666666666667,45.65,89.58333333333333,31.616666666666667,84.03333333333333,56.233333333333334,104.68333333333334,126.41666666666667,122.9,158.65,107.15,36.06666666666667,82.76666666666667,110.66666666666667,152.33333333333334,147.5
"202 Grand Blvd, Kansas City, MO 64106, United States",55.516666666666666,41.8,40.03333333333333,99.73333333333333,18.683333333333334,68.38333333333334,70.21666666666667,58.18333333333333,95.2,70.25,92.0,88.46666666666667,136.38333333333333,85.95,62.733333333333334,84.68333333333334,120.55,130.06666666666666,163.51666666666668
"9 E 3rd St, Kansas City, MO 64106, United States",55.68333333333333,41.45,39.666666666666664,99.36666666666666,16.333333333333332,66.65,70.38333333333334,59.6,95.35,68.76666666666667,90.5,86.96666666666667,133.55,84.2,62.88333333333333,84.5,120.46666666666667,127.21666666666667,165.61666666666667
"307a Main St, Kansas City, MO 64105, United States",56.2,41.85,40.06666666666667,99.76666666666667,14.283333333333333,65.51666666666667,70.9,60.21666666666667,95.86666666666666,66.81666666666666,88.56666666666666,85.03333333333333,131.95,83.06666666666666,63.4,84.91666666666667,119.9,125.63333333333334,166.23333333333332
"2536 Independence Ave, Kansas City, MO 64124, United States",37.266666666666666,29.3,39.266666666666666,66.86666666666666,44.31666666666667,90.31666666666666,31.25,82.73333333333333,57.63333333333333,103.38333333333334,125.11666666666666,121.6,159.21666666666667,107.86666666666666,37.833333333333336,83.5,111.93333333333334,152.9,146.6
"19 E 3rd St, Kansas City, MO 64106, United States",55.416666666666664,41.18333333333333,39.4,99.11666666666666,16.066666666666666,66.38333333333334,70.11666666666666,59.333333333333336,95.1,68.5,90.25,86.71666666666667,133.28333333333333,83.95,62.63333333333333,84.25,120.2,126.96666666666667,165.35
"2255 E 12th St, Kansas City, MO 64127, United States",23.4,16.566666666666666,26.35,60.666666666666664,41.416666666666664,77.61666666666666,45.233333333333334,89.05,51.61666666666667,107.1,128.83333333333334,125.31666666666666,146.36666666666667,95.16666666666667,23.783333333333335,70.8,97.95,140.05,161.01666666666668
"303 Grand Blvd, Kansas City, MO 64106, United States",53.916666666666664,39.71666666666667,37.93333333333333,98.28333333333333,17.55,67.11666666666666,68.61666666666666,58.266666666666666,93.58333333333333,70.73333333333333,92.46666666666667,88.95,135.11666666666667,84.66666666666667,61.13333333333333,83.38333333333334,119.23333333333333,128.8,164.28333333333333
"2904 Independence Ave, Kansas City, MO 64124, United States",41.516666666666666,34.666666666666664,44.46666666666667,61.766666666666666,49.45,95.43333333333334,25.566666666666666,88.05,52.38333333333333,108.71666666666667,130.45,126.91666666666667,164.51666666666668,113.0,41.93333333333333,88.61666666666666,116.55,158.18333333333334,145.4
"806 Southwest Blvd, Kansas City, MO 64108, United States",45.1,41.71666666666667,36.583333333333336,80.5,32.15,30.533333333333335,103.81666666666666,102.65,92.33333333333333,85.45,107.2,103.66666666666667,89.81666666666666,48.166666666666664,49.38333333333333,59.35,90.6,83.43333333333334,208.66666666666666
